trial,item_no,item_id,type,expset,condition_no,social_context,target_context,register_match,grammatical,context,critical,condition,picture1,picture2,picture3,picture4,sentence,context_norm
practice,practice,practice,practice,practice,practice,practice,practice,practice,practice,Hochtrabend daherkommend*erwähnte*der Profi:,"Ich*mutmaße,*dass*die Reparatur*trotz der fairen Versicherung*teuer ist. ",practice,practice1rel1.jpg,practice1rel2.jpg,practice1unrel1.jpg,practice1unrel2.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Hochtrabend daherkommend erwähnte der Profi:
practice,practice,practice,practice,practice,practice,practice,practice,practice,practice,Gut gelaunt*sagte*die Studentin:,Ich*schreibe*später*meine Hausaufgaben*in der Bibliothek.,practice,practice2rel1.jpg,practice2rel2.jpg,practice2unrel1.jpg,practice2unrel2.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Gut gelaunt sagte die Studentin:
practice,practice,practice,practice,practice,practice,practice,practice,practice,practice,Minimal verunsichert*benannte*Anne:,"Ich*ahne,*dass*der Fleck*trotz der starken Reinigung*bleibt.",practice,practice3rel1.jpg,practice3rel2.jpg,practice3unrel1.jpg,practice3unrel2.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Minimal verunsichert benannte Anne:
1,43,3,filler,SocStat,1,high,high,match,yes,Herr Kluge*bemüht sich*sehr*als Politiker.,"Ich*nehme an,*dass*die Absperrung*wegen der langen Konferenz*bestehen bleibt.",a,Filler3_socstat_unrelated_2.jpg,Filler3_socstat_related_1.jpg,Filler3_socstat_unrelated_1.jpg,Filler3_socstat_related_2.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Herr Kluge bemüht sich sehr als Politiker.
2,3,3,critical,WP1,3,low,low,match,yes,Schlampig*eingestellt*labert*Felix.,Ich*saniere*bald*meine Behausung*in der City.,c,Wohnung-1.jpg,Behausung-1.jpg,Ohren-1.jpg,Lauscher-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Schlampig eingestellt labert Felix.
3,101,11,filler,WP2,9,low,low,match,yes,Die Babysitterin*checkte*im Laden:,Die Verkäuferin*beäugelte*das Kind.,i,Filler11_WP2_unrelated_2.jpg,Filler11_WP2_unrelated_1.jpg,Filler11_WP2_related_2.jpg,Filler11_WP2_related_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Die Babysitterin checkte im Laden:
4,105,13,filler,WP2,8,low,high,mismatch,no,Die Clique*johlte*beim Saufen:,Der Lokalbesitzer*maßregeln*den Kellner.,h,Filler13_WP2_unrelated_1.jpg,Filler13_WP2_related_1.jpg,Filler13_WP2_related_2.jpg,Filler13_WP2_unrelated_2.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Die Clique johlte beim Saufen:
5,21,25,critical,WP1,5,low,low,match,no,Mordsmäßig*betucht*brabbelt*Heike:,Ich*pediküre*bald*meine Bude*bei der Kosmetikerin.,e,Fuesse-1.jpg,Mauken-1.jpg,Residenz-1.jpg,Bude-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Mordsmäßig betucht brabbelt Heike:
6,31,39,critical,WP1,4,low,high,mismatch,yes,Lässig chillend*quasselt*Sabine:,Ich*betreibe*jetzt*meine Pension*in der Region.,d,Pension-1.jpg,Absteige-1.jpg,Hausschuhe-1.jpg,Schlappen-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Lässig chillend quasselt Sabine:
7,15,15,critical,WP1,6,low,high,mismatch,no,Helle gestrickt*tönt*Robert:,Ich*spare*jetzt*mein Essen*auf dem Konto.,f,Geld-1.jpg,Moos-1.jpg,Futter-1.jpg,Essen-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Helle gestrickt tönt Robert:
8,41,1,filler,SocStat,1,high,high,match,yes,Tante*Inga*schuftet*schwer*in*der*Imbissbude.,"Ich*merke,*dass*die*Gegend*wegen*des*bunten*Festes*abgesperrt*ist.",a,Filler1_socstat_related_1.jpg,Filler1_socstat_unrelated_2.jpg,Filler1_socstat_related_2.jpg,Filler1_socstat_unrelated_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Tante Inga schuftet schwer in der Imbissbude.
9,98,9,filler,WP2,9,low,low,match,yes,Die Bürotante*kritzelte*auf den Zettel:,Der Reiseleiter*beguckte*den Einzelgänger.,i,Filler9_WP2_related_1.jpg,Filler9_WP2_unrelated_2.jpg,Filler9_WP2_unrelated_1.jpg,Filler9_WP2_related_2.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Die Bürotante kritzelte auf den Zettel:
10,25,31,critical,WP1,4,low,high,mismatch,yes,Spitze*gedrillt*schnarrt*Klaus:,Ich*feuer(e)*bald*meine Pistole*auf der Gasse.,d,Pistole-1.jpg,Knarre-1.jpg,Pillen-1.jpg,Arznei-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Spitze gedrillt schnarrt Klaus:
11,11,11,critical,WP1,6,low,high,mismatch,no,Patent trainiert*verklickert*Daniel:,Ich*bügel*gleich*meine Pferde*auf dem Bügelbrett.,f,Hosen-1.jpg,Buxen-1.jpg,Pferde-1.jpg,Gaule-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Patent trainiert verklickert Daniel:
12,55,15,filler,SocStat,2,high,high,match,no,Charlotte*schreibt*freiberuflich*für ein Satiremagazin.,"Ich*ahne,*dass*die Stimmung*wegen die fiese Beleidigung*schlecht ist.",b,Filler15_socstat_unrelated_2.jpg,Filler15_socstat_related_1.jpg,Filler15_socstat_related_2.jpg,Filler15_socstat_unrelated_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Charlotte schreibt freiberuflich für ein Satiremagazin.
13,19,21,critical,WP1,5,low,low,match,no,Fix gerüstet*plappert*Florian:,Ich*stähle*jetzt*meinen Köter*in dem Sportzentrum.,e,Bauch-1.jpg,Wanst-1.jpg,Hund-1.jpg,Koeter-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Fix gerüstet plappert Florian:
14,86,3,filler,WP2,7,low,high,mismatch,yes,Der Typ*verbreitete*auf WhatsApp:,Der Sportlehrer*tyrannisierte*den Wettläufer.,g,Filler3_WP2_related_2.jpg,Filler3_WP2_unrelated_2.jpg,Filler3_WP2_unrelated_1.jpg,Filler3_WP2_related_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Der Typ verbreitete auf WhatsApp:
15,94,7,filler,WP2,10,low,low,match,no,Der Besoffene*johlte*vor dem Fernseher:,Der Kriminalbeamte*verschaukeln*den Raubmörder.,j,Filler7_WP2_unrelated_2.jpg,Filler7_WP2_related_2.jpg,Filler7_WP2_unrelated_1.jpg,Filler7_WP2_related_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Der Besoffene johlte vor dem Fernseher:
16,23,27,critical,WP1,5,low,low,match,no,Enorm geschickt*schnattert*Susanna:,Ich*schneidere*jetzt*meine Fiedel*bei der Näherin.,e,Kleider-1.jpg,Fummel-1.jpg,Geige-1.jpg,Fiedel-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Enorm geschickt schnattert Susanna:
17,53,13,filler,SocStat,2,high,high,match,no,Trotz Technologiesierung*arbeiten*viele*aus meiner Familie*in Fabriken.,"Ich*schätze,*dass*die Lieferung*wegen die heftigen Stürme*verspätet ist.",b,Filler13_socstat_unrelated_1.jpg,Filler13_socstat_unrelated_2.jpg,Filler13_socstat_related_1.jpg,Filler13_socstat_related_2.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Trotz Technologiesierung arbeiten viele aus meiner Familie in Fabriken.
18,29,37,critical,WP1,4,low,high,mismatch,yes,Recht zuvorkommend*plauscht*Norbert:,Ich*wasche*gleich*meine Finger*in dem Spülbecken.,d,Finger-1.jpg,Griffel-1.jpg,Pluerre-1.jpg,Getraenke-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Recht zuvorkommend plauscht Norbert:
19,89,5,filler,WP2,10,low,low,match,no,Der Pöbel*erzählte*überall rum:,Der Bischof*rüffeln*den Herrscher.,j,Filler5_WP2_related_1.jpg,Filler5_WP2_unrelated_2.jpg,Filler5_WP2_unrelated_1.jpg,Filler5_WP2_related_2.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Der Pöbel erzählte überall rum:
20,49,9,filler,SocStat,2,high,high,match,no,Ein Streifenpolizist*braucht*eine gute Intuition.,"Ich*befürchte,*dass*die Strecke*wegen das frühe Rennen*umgeleitet ist.",b,Filler9_socstat_unrelated_2.jpg,Filler9_socstat_unrelated_1.jpg,Filler9_socstat_related_1.jpg,Filler9_socstat_related_2.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Ein Streifenpolizist braucht eine gute Intuition.
21,45,5,filler,SocStat,1,high,high,match,yes,Jans Eltern*verlangen*als Professoren*viel*von ihrem Sohn*ab.,"Ich*denke,*dass*die Studie*wegen des groben Versehens*abgesagt ist.",a,Filler5_socstat_related_2.jpg,Filler5_socstat_unrelated_2.jpg,Filler5_socstat_unrelated_1.jpg,Filler5_socstat_related_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Jans Eltern verlangen als Professoren viel von ihrem Sohn ab.
22,27,33,critical,WP1,4,low,high,mismatch,yes,Ganz doll*wacker*wiehert*Elisabeth:,Ich*lese*später*meine Bücher*in der Bücherei.,d,Buecher-1.jpg,Waelzer-1.jpg,Brause-1.jpg,Schorle-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Ganz doll wacker wiehert Elisabeth:
23,17,19,critical,WP1,5,low,low,match,no,Aktiv*mit*dabei*protzt*Lukas:,Ich*unterschreibe*jetzt*meinen Schampus*in dem Office.,e,Antrag-1.jpg,Wisch-1.jpg,Champagner-1.jpg,Schampus-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Aktiv mit dabei protzt Lukas:
24,109,15,filler,WP2,8,low,high,mismatch,no,Der Depp*sprayte*an die Mauer:,Der Soldat*denunzieren*den Wachmann.,h,Filler15_WP2_related_2.jpg,Filler15_WP2_unrelated_1.jpg,Filler15_WP2_unrelated_2.jpg,Filler15_WP2_related_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Der Depp sprayte an die Mauer:
